,school_name,english_rank,english_tested,english_score,english_image,math_rank,math_tested,math_score,math_image
722,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/marblehead.xml#schools'>Village School</a>,327,222,63,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,203,221,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
723,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/hamiltonwenham.xml#schools'>Winthrop School</a>,351,45,62,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,203,45,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
724,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/arlington.xml#schools'>M Norcross Stratton</a>,378,67,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,203,67,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
725,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/stoughton.xml#schools'>Joseph R Dawe Jr Elementary</a>,378,57,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,203,21,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
726,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/gloucester.xml#schools'>Plum Cove School</a>,470,48,54,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,203,49,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
727,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/westspringfield.xml#schools'>Philip G Coburn</a>,498,75,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,203,73,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
728,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wachusett.xml#schools'>Paxton Center</a>,515,61,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,203,61,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
729,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/burlington.xml#schools'>Memorial</a>,88,85,79,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,190,84,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
730,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wrentham.xml#schools'>Charles E Roderick</a>,146,165,74,NA,190,165,68,NA
731,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/billerica.xml#schools'>Frederick J Dutile</a>,159,40,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,190,40,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
732,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/mendonupton.xml#schools'>Henry P Clough</a>,208,92,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,190,92,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
733,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Bancroft Elementary</a>,291,68,65,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,190,68,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
734,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/rochester.xml#schools'>Rochester Memorial</a>,327,72,63,NA,190,71,68,NA
735,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/chicopee.xml#schools'>Barry</a>,378,77,60,NA,190,79,68,NA
736,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wachusett.xml#schools'>Leroy E.Mayo</a>,401,80,59,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,190,80,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
737,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/halifax.xml#schools'>Halifax Elementary</a>,414,72,58,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,190,72,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
738,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/quincy.xml#schools'>Wollaston School</a>,414,50,58,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,190,50,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
739,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/beverly.xml#schools'>Ayers/Ryal Side School</a>,427,72,57,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,190,72,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
740,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wakefield.xml#schools'>Walton</a>,427,44,57,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,190,44,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
741,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Warner</a>,697,40,38,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,190,40,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
742,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wachusett.xml#schools'>Dawson</a>,30,77,86,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,180,77,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
743,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/weymouth.xml#schools'>Academy Avenue</a>,88,58,79,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,180,58,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
744,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/blackstonemillville.xml#schools'>Millville Elementary</a>,99,36,78,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,180,36,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
745,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/quincy.xml#schools'>Beechwood Knoll Elementary</a>,118,62,76,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,180,64,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
746,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/mohawktrail.xml#schools'>Buckland-Shelburne Regional</a>,174,25,72,NA,180,26,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
747,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/marshfield.xml#schools'>Gov Edward Winslow</a>,190,65,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,180,65,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
748,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/medfield.xml#schools'>Dale Street</a>,225,204,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,180,205,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
749,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/bridgewaterraynham.xml#schools'>Williams Intermediate School</a>,264,226,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,180,228,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
750,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/westboylston.xml#schools'>Major Edwards Elementary</a>,309,77,64,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,180,77,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
751,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/burlington.xml#schools'>Memorial</a>,697,32,38,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,180,32,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
752,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/northborough.xml#schools'>Marion E Zeh</a>,26,53,87,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,165,54,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
753,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wayland.xml#schools'>Happy Hollow School</a>,48,88,84,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,165,88,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
754,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/billerica.xml#schools'>John F Kennedy</a>,79,82,80,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,81,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
755,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/marshfield.xml#schools'>Martinson Elementary</a>,88,86,79,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,165,86,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
756,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/needham.xml#schools'>Broadmeadow</a>,118,119,76,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,119,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
757,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/longmeadow.xml#schools'>Blueberry Hill</a>,146,81,74,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,82,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
758,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dartmouth.xml#schools'>Joseph Demello</a>,159,97,73,NA,165,97,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
759,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/franklin.xml#schools'>Jefferson Elementary</a>,174,86,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,165,86,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
760,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lanesborough.xml#schools'>Lanesborough Elementary</a>,208,33,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,33,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
761,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brookline.xml#schools'>Edith C Baker</a>,225,91,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,165,92,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
762,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/bellingham.xml#schools'>Clara Macy Elementary</a>,247,50,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,165,50,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
763,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>South Elementary</a>,264,94,67,NA,165,94,70,NA
764,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acushnet.xml#schools'>Acushnet Elementary School</a>,327,76,63,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,76,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
765,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/seekonk.xml#schools'>George R Martin</a>,363,83,61,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,83,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
766,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Carlos Pacheco</a>,427,37,57,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,165,37,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
767,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/winchester.xml#schools'>Muraco Elementary</a>,14,63,89,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,153,63,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
768,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/natick.xml#schools'>Bennett-Hemenway</a>,48,107,84,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,153,107,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
769,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newton.xml#schools'>A E Angier</a>,72,69,81,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,153,69,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
770,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/chelmsford.xml#schools'>Center Elementary School</a>,118,84,76,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,153,83,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
771,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/northandover.xml#schools'>Atkinson</a>,131,65,75,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,153,65,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
772,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/leominster.xml#schools'>Fall Brook</a>,174,95,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,153,95,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
773,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/marshfield.xml#schools'>South River</a>,174,76,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,153,76,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
774,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wachusett.xml#schools'>Houghton Elementary</a>,174,95,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,153,96,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
775,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lincoln.xml#schools'>Lincoln School</a>,264,70,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,153,70,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
776,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/monomoyregionalschooldistrict.xml#schools'>Chatham Elementary School</a>,264,52,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,153,52,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
777,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Warren-Prescott</a>,291,66,65,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,153,66,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
778,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/salem.xml#schools'>Bates</a>,559,41,49,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,153,41,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
779,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/norwell.xml#schools'>Grace Farrar Cole</a>,48,68,84,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,138,68,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
780,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/braintree.xml#schools'>Donald Ross</a>,56,46,83,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,138,46,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
781,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/braintree.xml#schools'>Highlands</a>,65,71,82,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,138,72,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
782,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/winchester.xml#schools'>Lynch Elementary</a>,65,65,82,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,138,65,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
783,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cohasset.xml#schools'>Deer Hill</a>,88,145,79,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,138,144,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
784,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/franklin.xml#schools'>Horace Mann</a>,88,66,79,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,138,69,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
785,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/triton.xml#schools'>Newbury Elementary</a>,146,82,74,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,82,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
786,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/framingham.xml#schools'>Hemenway</a>,159,93,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,92,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
787,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/westbridgewater.xml#schools'>Howard School</a>,190,97,71,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,97,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
788,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newton.xml#schools'>Countryside</a>,208,91,70,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,138,92,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
789,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/sandwich.xml#schools'>Henry T Wing</a>,225,86,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,85,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
790,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/nashoba.xml#schools'>Florence Sawyer School</a>,225,100,69,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,99,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
791,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/northattleborough.xml#schools'>Falls</a>,264,43,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,43,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
792,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/needham.xml#schools'>Newman Elementary</a>,401,113,59,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,138,114,72,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
794,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/westborough.xml#schools'>Mill Pond School</a>,79,289,80,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,127,287,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
795,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/wachusett.xml#schools'>Davis Hill Elementary</a>,79,82,80,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,127,83,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
796,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/northborough.xml#schools'>Marguerite E Peaslee</a>,99,45,78,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,127,45,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
797,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/andover.xml#schools'>Henry C Sanborn Elementary</a>,247,66,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,127,66,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
798,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/manchesteressexregional.xml#schools'>Essex Elementary</a>,247,44,68,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,127,44,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
799,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/centralberkshire.xml#schools'>Kittredge</a>,279,53,66,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,127,52,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
800,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/needham.xml#schools'>Hillside Elementary</a>,309,59,64,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,127,59,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
801,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/sunderland.xml#schools'>Sunderland Elementary</a>,309,22,64,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,127,22,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
802,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/acton.xml#schools'>Merriam</a>,401,91,59,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,127,91,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
803,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/milton.xml#schools'>Cunningham School</a>,427,90,57,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,127,89,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
804,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/milton.xml#schools'>Tucker</a>,559,70,49,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,127,70,73,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
